Customer_ID,First_Name,Last_Name,Age,Gender,City,State,Registration_Date,Customer_Type (Regular/VIP/New)
1,Michael,Chavez,41,Male,Houston,Texas,2020-09-21,Regular
2,Taylor,Johnson,43,Female,Las Vegas,Nevada,2019-06-18,Regular
3,Taylor,Richardson,37,Female,San Jose,California,2020-02-04,Regular
4,Serenity,Sanders,22,Female,San Diego,California,2021-03-12,Regular
5,Lincoln,Morales,26,Male,Oklahoma City,Oklahoma,2025-03-29,VIP
6,Gabriella,Lopez,41,Female,El Paso,Texas,2022-03-29,VIP
7,Camila,Kim,43,Female,Seattle,Washington,2020-07-05,Regular
8,Evan,Richardson,40,Male,Columbus,Ohio,2025-11-07,VIP
9,Emma,Wright,25,Female,San Francisco,California,2023-09-01,Regular
10,Jasmine,Reyes,42,Female,Jacksonville,Florida,2020-09-24,New
11,Thomas,Walker,34,Male,Denver,Colorado,2025-04-16,VIP
12,Juan,Brooks,42,Male,Denver,Colorado,2019-04-10,Regular
13,Tristan,Williams,36,Male,Phoenix,Arizona,2020-08-07,VIP
14,Mia,Thomas,19,Female,Nashville,Tennessee,2021-06-04,New
15,John,Miller,26,Male,San Diego,California,2019-11-02,Regular
16,Mason,Hill,34,Male,San Antonio,Texas,2019-12-25,Regular
17,Giovanni,Cruz,36,Male,Charlotte,North Carolina,2025-01-12,Regular
18,Tyler,Thompson,20,Male,Chicago,Illinois,2018-10-01,Regular
19,Allison,Smith,42,Female,Indianapolis,Indiana,2024-10-28,VIP
20,Giovanni,Phillips,38,Male,Denver,Colorado,2022-04-02,Regular
21,Jason,Gutierrez,19,Male,Houston,Texas,2019-03-07,VIP
22,Isabella,Gonzales,41,Female,"Washington, D.C.",District of Columbia,2018-04-07,Regular
23,Blake,Taylor,40,Male,Philadelphia,Pennsylvania,2022-03-25,New
24,Leah,King,19,Female,Columbus,Ohio,2025-09-16,Regular
25,Audrey,Sanders,23,Female,Houston,Texas,2025-06-12,Regular
26,Nolan,Nguyen,34,Male,Houston,Texas,2021-03-22,VIP
27,Emily,Stewart,27,Female,Las Vegas,Nevada,2025-10-12,Regular
28,Scarlett,Cruz,20,Female,Dallas,Texas,2022-12-20,Regular
29,Jace,Price,45,Male,Las Vegas,Nevada,2023-05-26,Regular
30,Gabriella,Turner,44,Female,Fort Worth,Texas,2025-09-19,Regular
31,Chloe,Rodriguez,26,Female,"Washington, D.C.",District of Columbia,2024-11-29,Regular
32,Aubree,Clark,41,Female,Los Angeles,California,2019-02-22,Regular
33,Sarah,Adams,36,Female,San Francisco,California,2022-11-24,Regular
34,London,Gonzales,29,Female,Phoenix,Arizona,2021-02-06,Regular
35,Jesus,Morales,32,Male,Austin,Texas,2018-06-04,New
36,Aiden,Sanchez,40,Male,Boston,Massachusetts,2020-01-06,Regular
37,Kennedy,Hill,20,Female,Oklahoma City,Oklahoma,2021-05-12,Regular
38,Brody,Bennet,25,Male,Austin,Texas,2022-12-24,Regular
39,Zachary,Walker,31,Male,Denver,Colorado,2024-03-30,VIP
40,Ian,Rivera,24,Male,San Antonio,Texas,2022-02-19,Regular
41,Bailey,Wilson,18,Female,Oklahoma City,Oklahoma,2021-12-16,Regular
42,Jackson,Gonzales,24,Male,San Francisco,California,2024-03-20,Regular
43,Mariah,Chavez,35,Female,Philadelphia,Pennsylvania,2021-04-30,Regular
44,Leah,Morales,18,Female,Indianapolis,Indiana,2023-09-05,Regular
45,Harper,Chavez,43,Female,Denver,Colorado,2021-08-24,New
46,Olivia,Bailey,32,Female,San Diego,California,2018-07-01,Regular
47,Molly,Adams,29,Female,San Diego,California,2024-06-10,Regular
48,Destiny,Cruz,35,Female,Boston,Massachusetts,2021-08-22,VIP
49,Bailey,Richardson,44,Female,Los Angeles,California,2021-07-15,Regular
50,Miles,Carter,18,Male,Indianapolis,Indiana,2019-07-14,Regular
51,Miles,Bennet,31,Male,Austin,Texas,2024-08-29,VIP
52,Bryce,Alvarez,27,Male,Philadelphia,Pennsylvania,2021-04-12,Regular
